"Class","_defaultColorIndex","id",Model,IoU
"Class 0","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.8775556683540344"
"Class 1","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.48016002774238586"
"Class 2","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.7318903207778931"
"Class 3","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.15633006393909454"
"Class 4","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.173785999417305"
"Class 5","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.31826353073120117"
"Class 6","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.3027017116546631"
"Class 7","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.22610726952552795"
"Class 8","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.7588408589363098"
"Class 9","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.37483903765678406"
"Class 10","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.9202461242675781"
"Class 11","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.26856058835983276"
"Class 12","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.007135882042348385"
"Class 13","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.81467205286026"
"Class 14","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.36510881781578064"
"Class 15","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.4452173411846161"
"Class 16","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0"
"Class 17","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.01887274719774723"
"Class 18","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.01417746301740408"
"Class 19","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.6844214200973511"
"Class 0","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.8773839473724365"
"Class 1","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.4794405996799469"
"Class 2","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.7199463844299316"
"Class 3","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.15078534185886383"
"Class 4","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.176735058426857"
"Class 5","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.27890461683273315"
"Class 6","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.26895615458488464"
"Class 7","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.1954517811536789"
"Class 8","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.7597568035125732"
"Class 9","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.3839728534221649"
