Class,"_defaultColorIndex","id",Model,PA
"Class 0","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.9433421492576599"
"Class 1","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.6638641953468323"
"Class 2","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.8704679012298584"
"Class 3","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.3250912129878998"
"Class 4","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.2901786267757416"
"Class 5","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.47124549746513367"
"Class 6","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.47940847277641296"
"Class 7","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.3496578335762024"
"Class 8","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.8562107086181641"
"Class 9","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.581389844417572"
"Class 10","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.9551563858985901"
"Class 11","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.4158695638179779"
"Class 12","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.01911853440105915"
"Class 13","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.9078190922737122"
"Class 14","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.48333296179771423"
"Class 15","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.7431767582893372"
"Class 16","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0"
"Class 17","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.03738081082701683"
"Class 18","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.03685816004872322"
"Class 19","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.7695461511611938"
"Class 0","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.9411582350730896"
"Class 1","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.6836782097816467"
"Class 2","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.8615021109580994"
"Class 3","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.3402079641819"
"Class 4","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.33422574400901794"
"Class 5","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.4195217490196228"
"Class 6","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.4349997043609619"
"Class 7","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.35028859972953796"
"Class 8","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.8471670746803284"
"Class 9","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.5790649056434631"
"Class 10","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.947563111782074"
"Class 11","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.4325235188007355"
"Class 12","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0"
"Class 13","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.9089645147323608"
"Class 14","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.4200848937034607"
"Class 15","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.5923585891723633"
"Class 16","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0"
